Date,2nd Ave PBL south of Bell St,NB,SB
03/01/2018 12:00:00 AM,0,0,0
03/01/2018 01:00:00 AM,0,0,0
03/01/2018 02:00:00 AM,0,0,0
03/01/2018 03:00:00 AM,0,0,0
03/01/2018 04:00:00 AM,0,0,0
03/01/2018 05:00:00 AM,0,0,0
03/01/2018 06:00:00 AM,0,0,0
03/01/2018 07:00:00 AM,0,0,0
03/01/2018 08:00:00 AM,0,0,0
03/01/2018 09:00:00 AM,0,0,0
03/01/2018 10:00:00 AM,3,0,3
03/01/2018 11:00:00 AM,29,6,23
03/01/2018 12:00:00 PM,20,6,14
03/01/2018 01:00:00 PM,18,10,8
03/01/2018 02:00:00 PM,22,3,19
03/01/2018 03:00:00 PM,43,8,35
03/01/2018 04:00:00 PM,61,9,52
03/01/2018 05:00:00 PM,74,19,55
03/01/2018 06:00:00 PM,61,16,45
03/01/2018 07:00:00 PM,24,9,15
03/01/2018 08:00:00 PM,23,12,11
03/01/2018 09:00:00 PM,21,16,5
03/01/2018 10:00:00 PM,6,2,4
03/01/2018 11:00:00 PM,4,3,1
03/02/2018 12:00:00 AM,3,1,2
03/02/2018 01:00:00 AM,4,2,2
03/02/2018 02:00:00 AM,0,0,0
03/02/2018 03:00:00 AM,0,0,0
03/02/2018 04:00:00 AM,3,0,3
03/02/2018 05:00:00 AM,8,1,7
03/02/2018 06:00:00 AM,19,2,17
03/02/2018 07:00:00 AM,50,4,46
03/02/2018 08:00:00 AM,66,13,53
03/02/2018 09:00:00 AM,36,9,27
03/02/2018 10:00:00 AM,10,1,9
03/02/2018 11:00:00 AM,25,6,19
03/02/2018 12:00:00 PM,14,3,11
03/02/2018 01:00:00 PM,17,7,10
03/02/2018 02:00:00 PM,24,7,17
03/02/2018 03:00:00 PM,37,12,25
03/02/2018 04:00:00 PM,56,15,41
03/02/2018 05:00:00 PM,62,27,35
03/02/2018 06:00:00 PM,36,13,23
03/02/2018 07:00:00 PM,35,18,17
03/02/2018 08:00:00 PM,20,5,15
03/02/2018 09:00:00 PM,12,4,8
03/02/2018 10:00:00 PM,12,5,7
03/02/2018 11:00:00 PM,5,0,5
03/03/2018 12:00:00 AM,12,6,6
03/03/2018 01:00:00 AM,15,4,11
03/03/2018 02:00:00 AM,2,0,2
03/03/2018 03:00:00 AM,0,0,0
03/03/2018 04:00:00 AM,0,0,0
03/03/2018 05:00:00 AM,2,0,2
03/03/2018 06:00:00 AM,3,1,2
03/03/2018 07:00:00 AM,8,1,7
03/03/2018 08:00:00 AM,11,3,8
03/03/2018 09:00:00 AM,16,4,12
03/03/2018 10:00:00 AM,23,7,16
03/03/2018 11:00:00 AM,23,8,15
03/03/2018 12:00:00 PM,37,11,26
03/03/2018 01:00:00 PM,26,9,17
03/03/2018 02:00:00 PM,18,5,13
03/03/2018 03:00:00 PM,34,12,22
03/03/2018 04:00:00 PM,34,14,20
