Date,Westlake PBL and Newton St,North,South
04/13/2018 12:00:00 AM,2,0,2
04/13/2018 01:00:00 AM,3,1,2
04/13/2018 02:00:00 AM,0,0,0
04/13/2018 03:00:00 AM,1,1,0
04/13/2018 04:00:00 AM,5,3,2
04/13/2018 05:00:00 AM,8,2,6
04/13/2018 06:00:00 AM,37,7,30
04/13/2018 07:00:00 AM,98,8,90
04/13/2018 08:00:00 AM,154,21,133
04/13/2018 09:00:00 AM,109,12,97
04/13/2018 10:00:00 AM,45,12,33
04/13/2018 11:00:00 AM,22,8,14
04/13/2018 12:00:00 PM,23,12,11
04/13/2018 01:00:00 PM,18,13,5
04/13/2018 02:00:00 PM,22,14,8
04/13/2018 03:00:00 PM,44,35,9
04/13/2018 04:00:00 PM,99,82,17
04/13/2018 05:00:00 PM,149,129,20
04/13/2018 06:00:00 PM,80,73,7
04/13/2018 07:00:00 PM,32,29,3
04/13/2018 08:00:00 PM,17,15,2
04/13/2018 09:00:00 PM,12,10,2
04/13/2018 10:00:00 PM,15,13,2
04/13/2018 11:00:00 PM,4,4,0
04/14/2018 12:00:00 AM,2,2,0
04/14/2018 01:00:00 AM,0,0,0
04/14/2018 02:00:00 AM,2,1,1
04/14/2018 03:00:00 AM,0,0,0
04/14/2018 04:00:00 AM,1,0,1
04/14/2018 05:00:00 AM,1,0,1
04/14/2018 06:00:00 AM,4,1,3
04/14/2018 07:00:00 AM,10,5,5
04/14/2018 08:00:00 AM,9,6,3
04/14/2018 09:00:00 AM,24,9,15
04/14/2018 10:00:00 AM,20,9,11
04/14/2018 11:00:00 AM,28,9,19
04/14/2018 12:00:00 PM,16,9,7
04/14/2018 01:00:00 PM,22,14,8
04/14/2018 02:00:00 PM,15,6,9
04/14/2018 03:00:00 PM,10,4,6
04/14/2018 04:00:00 PM,15,7,8
04/14/2018 05:00:00 PM,10,4,6
04/14/2018 06:00:00 PM,8,6,2
04/14/2018 07:00:00 PM,8,5,3
04/14/2018 08:00:00 PM,3,2,1
04/14/2018 09:00:00 PM,2,1,1
04/14/2018 10:00:00 PM,2,1,1
04/14/2018 11:00:00 PM,5,4,1
04/15/2018 12:00:00 AM,2,1,1
04/15/2018 01:00:00 AM,1,0,1
04/15/2018 02:00:00 AM,1,1,0
04/15/2018 03:00:00 AM,1,1,0
04/15/2018 04:00:00 AM,3,0,3
04/15/2018 05:00:00 AM,2,0,2
04/15/2018 06:00:00 AM,6,1,5
04/15/2018 07:00:00 AM,3,0,3
04/15/2018 08:00:00 AM,16,8,8
04/15/2018 09:00:00 AM,32,12,20
04/15/2018 10:00:00 AM,37,16,21
04/15/2018 11:00:00 AM,53,27,26
04/15/2018 12:00:00 PM,58,33,25
04/15/2018 01:00:00 PM,57,35,22
04/15/2018 02:00:00 PM,45,24,21
04/15/2018 03:00:00 PM,56,36,20
04/15/2018 04:00:00 PM,52,27,25
04/15/2018 05:00:00 PM,21,10,11
04/15/2018 06:00:00 PM,15,5,10
04/15/2018 07:00:00 PM,22,8,14
04/15/2018 08:00:00 PM,10,6,4
04/15/2018 09:00:00 PM,4,3,1
04/15/2018 10:00:00 PM,5,3,2
04/15/2018 11:00:00 PM,3,2,1
04/16/2018 12:00:00 AM,1,0,1
04/16/2018 01:00:00 AM,0,0,0
04/16/2018 02:00:00 AM,0,0,0
04/16/2018 03:00:00 AM,1,1,0
04/16/2018 04:00:00 AM,6,3,3
04/16/2018 05:00:00 AM,14,2,12
04/16/2018 06:00:00 AM,57,6,51
04/16/2018 07:00:00 AM,138,10,128
04/16/2018 08:00:00 AM,222,17,205
04/16/2018 09:00:00 AM,126,19,107
04/16/2018 10:00:00 AM,43,7,36
04/16/2018 11:00:00 AM,23,9,14
04/16/2018 12:00:00 PM,19,10,9
04/16/2018 01:00:00 PM,23,13,10
04/16/2018 02:00:00 PM,23,10,13
04/16/2018 03:00:00 PM,54,44,10
04/16/2018 04:00:00 PM,123,109,14
04/16/2018 05:00:00 PM,252,228,24
04/16/2018 06:00:00 PM,157,139,18
04/16/2018 07:00:00 PM,57,46,11
04/16/2018 08:00:00 PM,26,22,4
04/16/2018 09:00:00 PM,22,15,7
04/16/2018 10:00:00 PM,10,6,4
04/16/2018 11:00:00 PM,5,4,1
04/17/2018 12:00:00 AM,1,1,0
04/17/2018 01:00:00 AM,1,1,0
04/17/2018 02:00:00 AM,2,2,0
04/17/2018 03:00:00 AM,0,0,0
04/17/2018 04:00:00 AM,7,2,5
04/17/2018 05:00:00 AM,20,4,16
04/17/2018 06:00:00 AM,73,13,60
04/17/2018 07:00:00 AM,223,22,201
04/17/2018 08:00:00 AM,311,24,287
04/17/2018 09:00:00 AM,182,26,156
04/17/2018 10:00:00 AM,64,13,51
04/17/2018 11:00:00 AM,52,25,27
04/17/2018 12:00:00 PM,35,14,21
04/17/2018 01:00:00 PM,56,26,30
04/17/2018 02:00:00 PM,54,29,25
04/17/2018 03:00:00 PM,87,61,26
04/17/2018 04:00:00 PM,184,156,28
04/17/2018 05:00:00 PM,342,300,42
04/17/2018 06:00:00 PM,257,210,47
04/17/2018 07:00:00 PM,114,89,25
04/17/2018 08:00:00 PM,65,40,25
04/17/2018 09:00:00 PM,40,33,7
04/17/2018 10:00:00 PM,27,19,8
04/17/2018 11:00:00 PM,14,11,3
04/18/2018 12:00:00 AM,0,0,0
04/18/2018 01:00:00 AM,0,0,0
04/18/2018 02:00:00 AM,2,2,0
04/18/2018 03:00:00 AM,2,1,1
04/18/2018 04:00:00 AM,10,5,5
04/18/2018 05:00:00 AM,17,4,13
04/18/2018 06:00:00 AM,70,15,55
04/18/2018 07:00:00 AM,203,22,181
04/18/2018 08:00:00 AM,356,37,319
04/18/2018 09:00:00 AM,185,33,152
04/18/2018 10:00:00 AM,74,26,48
04/18/2018 11:00:00 AM,45,13,32
04/18/2018 12:00:00 PM,41,25,16
04/18/2018 01:00:00 PM,41,22,19
04/18/2018 02:00:00 PM,50,29,21
04/18/2018 03:00:00 PM,104,78,26
04/18/2018 04:00:00 PM,188,167,21
04/18/2018 05:00:00 PM,386,331,55
04/18/2018 06:00:00 PM,255,204,51
04/18/2018 07:00:00 PM,126,88,38
04/18/2018 08:00:00 PM,75,52,23
04/18/2018 09:00:00 PM,40,27,13
04/18/2018 10:00:00 PM,20,15,5
04/18/2018 11:00:00 PM,14,11,3
04/19/2018 12:00:00 AM,2,1,1
04/19/2018 01:00:00 AM,2,1,1
04/19/2018 02:00:00 AM,4,3,1
04/19/2018 03:00:00 AM,3,1,2
04/19/2018 04:00:00 AM,5,3,2
04/19/2018 05:00:00 AM,26,7,19
04/19/2018 06:00:00 AM,76,20,56
04/19/2018 07:00:00 AM,215,18,197
04/19/2018 08:00:00 AM,343,34,309
04/19/2018 09:00:00 AM,223,25,198
04/19/2018 10:00:00 AM,96,28,68
04/19/2018 11:00:00 AM,84,36,48
04/19/2018 12:00:00 PM,70,32,38
04/19/2018 01:00:00 PM,63,35,28
04/19/2018 02:00:00 PM,73,37,36
04/19/2018 03:00:00 PM,113,78,35
