Date,Hour,Total_I90,Ped_I90,Bike_I90,Total_SR520,Ped_EB_SR520,Ped_WB_SR520,Bike_EB_SR520,Bike_WB_SR520,I90 Location,SR520 Location
4/3/2015,0:00,0,0,0,0,0,0,0,0,"(212804.3339, 1317878.979)","(227705.9582, 1322677.229)"
4/3/2015,1:00,0,0,0,0,0,0,0,0,"(212804.3339, 1317878.979)","(227705.9582, 1322677.229)"
4/3/2015,2:00,0,0,0,0,0,0,0,0,"(212804.3339, 1317878.979)","(227705.9582, 1322677.229)"
4/3/2015,3:00,0,0,0,0,0,0,0,0,"(212804.3339, 1317878.979)","(227705.9582, 1322677.229)"
4/3/2015,4:00,2,0,2,0,0,0,0,0,"(212804.3339, 1317878.979)","(227705.9582, 1322677.229)"
4/3/2015,5:00,10,3,7,0,0,0,0,0,"(212804.3339, 1317878.979)","(227705.9582, 1322677.229)"
4/3/2015,6:00,21,6,15,2,0,0,0,2,"(212804.3339, 1317878.979)","(227705.9582, 1322677.229)"
4/3/2015,7:00,52,10,42,9,0,0,2,7,"(212804.3339, 1317878.979)","(227705.9582, 1322677.229)"
4/3/2015,8:00,49,4,45,58,24,19,8,7,"(212804.3339, 1317878.979)","(227705.9582, 1322677.229)"
4/3/2015,9:00,33,5,28,30,7,17,3,3,"(212804.3339, 1317878.979)","(227705.9582, 1322677.229)"
4/3/2015,10:00,26,3,23,8,1,2,5,0,"(212804.3339, 1317878.979)","(227705.9582, 1322677.229)"
4/3/2015,11:00,37,4,33,3,0,0,3,0,"(212804.3339, 1317878.979)","(227705.9582, 1322677.229)"
4/3/2015,12:00,28,11,17,10,1,2,6,1,"(212804.3339, 1317878.979)","(227705.9582, 1322677.229)"
4/3/2015,13:00,17,7,10,7,0,1,3,3,"(212804.3339, 1317878.979)","(227705.9582, 1322677.229)"
4/3/2015,14:00,26,5,21,3,0,0,2,1,"(212804.3339, 1317878.979)","(227705.9582, 1322677.229)"
4/3/2015,15:00,41,4,37,12,0,0,8,4,"(212804.3339, 1317878.979)","(227705.9582, 1322677.229)"
