OBJECTID,STREET_NAME,LENGTH_MILES,STATUS,COMPKEY,CATALYTIC_PROJECTS,NETWORK,DATE_COMPLETED,EXISTING_FACILITY_TYPE,PLANNED_FACILITY_TYPE,PROJECT_NUMBER,DATE_PLANNED,DATE_EXPIRED,SHAPE_Length
40118,DEXTER AVE N,0.04917486,MEETS,10088,0,LOCAL,1980-12-31T00:00:00.000Z,"In Street, Minor Separation",,0,,,259.64324061461
40119,E CHERRY ST,0.0609055,MEETS,13888,0,LOCAL,2009-12-31T00:00:00.000Z,"In Street, Minor Separation",,0,,,321.581030251932
40120,NE 65TH ST,0.04732818,MEETS,17252,0,LOCAL,2011-12-31T00:00:00.000Z,"In Street, Minor Separation",,0,,,249.892769407272
40121,NW 58TH ST,0.12478451,MEETS,18368,0,CITYWIDE,2012-12-31T00:00:00.000Z,Neighborhood Greenway,,0,,,658.862222253877
40122,S GENESEE ST,0.05037888,MEETS,20099,0,LOCAL,2012-12-31T00:00:00.000Z,"In Street, Minor Separation",,728,,,266.000494976671
40123,32ND AVE NW,0.0602831,MEETS,4975,0,LOCAL,2009-12-31T00:00:00.000Z,"In Street, Minor Separation",,0,,,318.294764565776
40124,51ST AVE S,0.05209686,MEETS,7534,0,LOCAL,2008-12-31T00:00:00.000Z,"In Street, Minor Separation",,0,,,275.071445219495
40125,RENTON AVE S,0.07430897,MEETS,12529,0,LOCAL,2011-12-31T00:00:00.000Z,"In Street, Minor Separation",,0,,,392.351369974544
40126,ROOSEVELT WAY NE,0.04686757,MEETS,12605,0,CITYWIDE,2016-12-31T00:00:00.000Z,"In Street, Major Separation",,706,,,247.460752969559
40127,E CHERRY ST,0.05561181,MEETS,13894,0,LOCAL,2008-12-31T00:00:00.000Z,"In Street, Minor Separation",,0,,,293.630350917968
40128,NE 75TH ST,0.05000809,MEETS,17514,0,LOCAL,2013-12-31T00:00:00.000Z,"In Street, Minor Separation",,647,,,264.042718460098
40129,34TH AVE,0.07901497,MEETS,5211,0,LOCAL,2012-12-31T00:00:00.000Z,"In Street, Minor Separation",,0,,,417.199048473588
40130,8TH AVE NW,0.05037874,MEETS,8390,0,LOCAL,1990-12-31T00:00:00.000Z,"In Street, Minor Separation",,0,,,265.999745166945
40131,LAFAYETTE AVE S,0.07321329,MEETS,11136,0,CITYWIDE,2012-12-31T00:00:00.000Z,Neighborhood Greenway,,0,,,386.566173210951
