block_seq_num,block_var_num,block_route_num,block_run_num
5200764,1,522,1
5200765,1,522,2
5200766,1,522,3
5200767,1,522,4
5200768,1,522,5
5200769,1,522,6
5200770,1,545,1
5200771,1,545,2
5200772,1,545,3
5200773,1,545,4
5200774,1,545,5
5200775,1,545,6
5200776,1,550,3
5200777,1,550,2
5200778,1,554,4
5200779,1,554,5
5200780,1,672,1
5200781,1,672,2
5200782,1,672,3
5200783,1,672,4
5200784,1,672,5
5200785,1,672,6
5200786,1,672,8
5200787,1,522,7
5200788,1,672,7
5200789,1,255,1
5200790,1,255,2
5200791,1,255,3
5200792,1,545,7
5200793,1,550,1
5200794,1,554,1
5200795,1,550,4
5200796,1,550,6
5200797,1,550,7
5200798,1,550,8
5200799,1,550,5
5200800,1,554,2
5200801,1,554,3
5200802,1,255,4
5200803,1,255,5
5200804,1,255,6
5200805,1,550,9
5200806,1,255,7
5200807,1,542,1
5200808,1,542,3
5200809,1,542,2
5200810,1,542,4
5200811,1,522,1
5200812,1,522,2
5200813,1,522,3
5200814,1,522,4
5200815,1,522,5
5200816,1,522,6
5200817,1,522,7
5200818,1,545,1
5200819,1,545,2
5200820,1,545,3
5200821,1,545,4
5200822,1,545,5
5200823,1,545,6
5200824,1,554,1
5200825,1,550,2
5200826,1,554,4
5200827,1,672,1
5200828,1,672,2
5200829,1,672,3
5200830,1,672,4
5200831,1,672,5
5200832,1,672,6
5200833,1,672,7
5200834,1,255,1
5200835,1,255,2
5200836,1,255,3
5200837,1,255,4
5200838,1,550,1
5200839,1,554,2
5200840,1,550,3
5200841,1,255,5
5200842,1,255,6
5200843,1,550,4
5200844,1,554,3
5200845,1,554,5
5200846,1,550,5
5200847,1,255,7
5200928,1,226,6
5200967,1,226,1
5200968,1,226,2
5200969,1,226,3
5200970,1,226,4
5200971,1,226,5
5200974,1,226,10
5200983,1,226,7
5200984,1,226,8
5200985,1,226,9
5201046,1,226,1
5201047,1,226,2
5201048,1,226,3
5201049,1,226,4
5201050,1,226,5
5201051,1,226,6
5201090,1,226,1
5201091,1,226,2
5201092,1,226,3
5204349,1,542,2
5204350,1,542,1
5204351,1,542,3
5204352,1,542,4
5205067,1,212,1
5205068,1,212,3
5205069,1,212,8
5205076,1,212,18
5205086,1,212,7
5205113,1,212,20
5205118,1,212,10
5205178,1,554,1
5205179,1,522,1
5205180,1,554,2
5205181,1,522,2
5205182,1,550,1
5205183,1,554,3
5205184,1,545,1
5205185,1,545,2
5205186,1,550,2
5205187,1,550,3
5205188,1,550,4
5205189,1,522,3
5205190,1,545,3
5205191,1,545,4
