block_identifier,service_id,trip_id,trip_sequence
5200764,11811,34761785,2
5200764,11811,34761789,5
5200764,11811,34761795,7
5200764,11811,34761810,10
5200764,11811,34761823,12
5200764,11811,34761838,15
5200764,11811,34761856,17
5200764,11811,34761872,20
5200764,11811,34761882,22
5200764,11811,34761913,25
5200764,11811,34761932,27
5200764,11811,34761962,30
5200765,11811,34761786,2
5200765,11811,34761792,5
5200765,11811,34761799,7
5200765,11811,34761818,10
5200765,11811,34761833,12
5200765,11811,34761850,15
5200765,11811,34761863,17
5200765,11811,34761877,20
5200765,11811,34761907,22
5200765,11811,34761934,25
5200765,11811,34761959,27
5200765,11811,34762007,30
5200766,11811,34761787,2
5200766,11811,34761791,4
5200766,11811,34761808,7
5200766,11811,34761816,9
5200766,11811,34761835,12
5200766,11811,34761848,14
5200766,11811,34761868,17
5200766,11811,34761874,19
5200766,11811,34761910,22
5200767,11811,34761788,2
5200767,11811,34761793,5
5200767,11811,34761800,7
5200767,11811,34761815,10
5200767,11811,34761836,12
5200767,11811,34761846,15
5200767,11811,34761869,17
5200767,11811,34761875,20
5200767,11811,34761911,22
5200767,11811,34761935,25
5200768,11811,34761790,2
5200768,11811,34761798,5
5200768,11811,34761809,7
5200768,11811,34761826,10
5200768,11811,34761843,12
5200768,11811,34761859,15
5200768,11811,34761870,17
5200768,11811,34761883,20
5200769,11811,34761822,2
5200769,11811,34761831,5
5200769,11811,34761844,7
5200769,11811,34761858,10
5200769,11811,34761873,12
5200769,11811,34761906,15
5200769,11811,34761912,17
5200769,11811,34761958,20
5200769,11811,34762009,22
5200770,11811,35331228,2
5200770,11811,35331227,5
5200770,11811,35331225,8
5200770,11811,35331238,11
5200770,11811,35331251,14
5200770,11811,35331263,17
5200770,11811,35331273,20
5200771,11811,35331242,2
5200771,11811,35331235,5
5200771,11811,35331233,8
5200771,11811,35331237,11
5200771,11811,35331248,14
5200771,11811,35331259,17
5200771,11811,35331272,20
5200771,11811,35331282,23
5200771,11811,35331292,26
5200771,11811,35331298,29
5200771,11811,35331312,32
5200771,11811,35331340,35
5200771,11811,35331362,38
5200772,11811,35331234,2
5200772,11811,35331236,5
5200772,11811,35331232,8
5200772,11811,35331252,11
5200772,11811,35331261,14
5200772,11811,35331268,17
5200772,11811,35331283,20
5200773,11811,35331244,2
5200773,11811,35331243,5
5200773,11811,35331245,8
5200773,11811,35331250,11
5200773,11811,35331258,14
5200773,11811,35331270,17
5200773,11811,35331280,20
5200773,11811,35331286,23
5200773,11811,35331302,26
5200773,11811,35331309,29
5200773,11811,35331333,32
5200774,11811,35331255,2
5200774,11811,35331256,5
5200774,11811,35331265,8
5200774,11811,35331271,11
5200774,11811,35331278,14
5200774,11811,35331291,17
5200774,11811,35331310,20
5200774,11811,35331315,23
5200774,11811,35331335,26
5200775,11811,35331284,2
5200775,11811,35331293,5
5200775,11811,35331297,8
5200775,11811,35331311,11
5200775,11811,35331339,14
5200775,11811,35331345,17
5200775,11811,35331388,20
5200775,11811,35331392,23
5200776,11811,34761893,2
5200776,11811,37514998,5
5200776,11811,37515001,6
5200776,11811,37515076,9
5200776,11811,37515080,10
5200776,11811,37515124,13
5200776,11811,37515127,14
5200776,11811,37515050,17
5200776,11811,37515064,18
5200776,11811,37515109,21
5200776,11811,37515114,22
5200776,11811,37515152,25
5200776,11811,37515190,26
5200777,11811,34761921,2
5200777,11811,34761920,5
5200777,11811,37515036,8
5200777,11811,37515033,9
5200777,11811,37515009,12
5200777,11811,37515018,13
5200777,11811,37515021,16
5200777,11811,37515053,17
5200777,11811,37515104,20
5200777,11811,37515095,21
5200777,11811,37515118,24
5200777,11811,37515154,25
5200777,11811,37515179,28
5200777,11811,37515221,29
5200777,11811,37515250,32
5200777,11811,37515260,33
5200777,11811,37515337,36
5200778,11811,34761926,2
5200778,11811,34761925,5
5200778,11811,34761924,8
5200778,11811,34761928,11
5200778,11811,34761930,14
5200778,11811,34761927,17
5200778,11811,34761929,20
5200779,11811,34761947,2
5200779,11811,34761945,5
5200779,11811,34761943,8
5200779,11811,34761949,11
5200779,11811,34761944,14
5200779,11811,34761939,17
5200779,11811,34761936,20
5200780,11811,34761969,2
5200780,11811,34761970,3
5200780,11811,34761965,6
5200780,11811,34761966,7
5200780,11811,34762005,10
5200780,11811,34762004,11
5200780,11811,34762000,14
5200780,11811,34762003,15
5200780,11811,34761998,18
5200780,11811,34761995,19
5200780,11811,34762021,22
