service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
119246,1,1,1,1,1,0,0,20190104,20190614
116846,0,1,1,1,1,0,0,20190104,20190614
116105,0,1,1,1,1,0,0,20190104,20190614
114076,0,0,1,1,1,0,0,20190107,20190614
111284,0,1,1,0,0,0,0,20190107,20190614
109726,0,0,0,0,0,0,0,20190107,20190614
108006,0,0,0,0,0,0,0,20190107,20190614
107904,0,0,0,0,0,0,0,20190107,20190614
103915,0,1,1,1,0,0,0,20190107,20190614
101367,0,1,0,0,0,0,0,20190107,20190614
100288,0,0,0,0,0,0,0,20190107,20190614
99937,0,0,0,0,0,0,0,20190107,20190614
62359,1,1,1,1,1,0,0,20190325,20190614
56887,1,1,1,1,1,0,0,20190104,20190322
54487,0,1,1,1,1,0,0,20190104,20190322
51717,0,0,1,1,1,0,0,20190107,20190322
50999,1,1,1,1,1,0,0,20190114,20190322
48599,0,1,1,1,1,0,0,20190114,20190322
47858,0,1,1,1,1,0,0,20190114,20190322
47701,0,0,0,0,0,0,0,20190107,20190322
47367,0,0,0,0,0,0,0,20190107,20190322
47015,0,0,1,1,1,0,0,20190114,20190322
45647,0,0,0,0,0,0,0,20190107,20190322
44223,0,1,1,0,0,0,0,20190114,20190322
42999,0,0,0,0,0,0,0,20190114,20190322
42665,0,0,0,0,0,0,0,20190114,20190322
40945,0,0,0,0,0,0,0,20190114,20190322
40843,0,0,0,0,0,0,0,20190114,20190322
39676,0,0,0,0,0,0,0,20190107,20190322
37090,0,1,1,1,0,0,0,20190114,20190321
36465,0,0,0,0,0,0,0,20190114,20190322
35797,0,1,0,0,0,0,0,20190114,20190322
34718,0,0,0,0,0,0,0,20190114,20190322
34367,0,0,0,0,0,0,0,20190114,20190322
24776,0,0,0,0,0,0,1,20190106,20190609
22967,0,0,0,0,0,1,0,20190105,20190608
22376,0,0,0,0,0,0,1,20190106,20190609
16632,0,0,1,0,0,0,0,20190116,20190320
16281,0,0,1,0,0,0,0,20190116,20190320
15202,0,0,1,0,0,0,0,20190116,20190320
14534,0,0,1,0,0,0,0,20190116,20190320
13556,0,0,0,0,0,1,0,20190105,20190316
13288,0,0,0,0,0,0,1,20190113,20190317
12931,0,0,0,0,1,0,0,20190104,20190322
12494,0,0,0,0,0,0,1,20190106,20190317
11811,0,0,0,0,0,1,0,20190323,20190608
11762,0,0,0,0,0,1,0,20190112,20190316
11509,0,0,0,0,1,0,0,20190118,20190322
11156,0,0,0,0,0,1,0,20190105,20190316
10888,0,0,0,0,0,0,1,20190113,20190317
10156,0,0,0,0,0,0,0,20190121,20190311
10054,0,0,0,0,0,0,0,20190121,20190318
9917,0,0,1,0,0,0,0,20190109,20190320
9882,0,0,0,0,0,0,1,20190324,20190609
9362,0,0,0,0,0,1,0,20190112,20190316
8426,0,0,1,0,0,0,0,20190116,20190320
8334,0,0,0,0,0,0,0,20190121,20190222
8069,0,0,0,0,0,0,0,20190109,20190320
8000,0,0,0,0,0,0,0,20190121,20190222
6776,0,0,0,0,0,0,0,20190121,20190308
6578,0,0,0,0,0,0,0,20190116,20190320
5888,1,1,1,1,1,0,0,20190104,20190111
4702,1,1,1,1,1,0,0,20190107,20190111
4466,1,1,1,1,0,0,0,20190107,20190110
3984,0,0,0,0,0,0,0,20190121,20190219
3211,1,1,0,1,1,0,0,20190107,20190111
2677,0,0,1,0,1,0,0,20190104,20190109
2400,0,0,0,0,0,0,0,20190121,20190218
1794,0,0,0,0,0,1,0,20190105,20190105
1606,0,0,0,0,0,0,1,20190106,20190106
1491,0,0,1,0,0,0,0,20190109,20190109
1422,0,0,0,0,1,0,0,20190104,20190111
1186,0,0,0,0,1,0,0,20190104,20190104
453,0,0,0,0,1,0,0,20190125,20190125
