route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
100001,KCM,"1","","Kinnear - Downtown Seattle",3,http://metro.kingcounty.gov/schedules/001/n0.html,,
100002,KCM,"10","","Capitol Hill - Downtown Seattle",3,http://metro.kingcounty.gov/schedules/010/n0.html,,
100003,KCM,"101","","Renton Transit Center - Downtown Seattle",3,http://metro.kingcounty.gov/schedules/101/n0.html,,
100004,KCM,"105","","Renton Highlands - Renton Transit Center",3,http://metro.kingcounty.gov/schedules/105/n0.html,,
100005,KCM,"106","","Renton Transit Center - Skyway - Downtown Seattle",3,http://metro.kingcounty.gov/schedules/106/n0.html,,
100006,KCM,"107","","Renton Transit Center - Rainier Beach",3,http://metro.kingcounty.gov/schedules/107/n0.html,,
100009,KCM,"11","","Madison Park - Capitol Hill - Downtown Seattle",3,http://metro.kingcounty.gov/schedules/011/n0.html,,
100011,KCM,"111","","Lake Kathleen - Downtown Seattle",3,http://metro.kingcounty.gov/schedules/111/n0.html,,
100012,KCM,"113","","Shorewood - Downtown Seattle",3,http://metro.kingcounty.gov/schedules/113/n0.html,,
100013,KCM,"114","","Renton Highlands - Downtown Seattle",3,http://metro.kingcounty.gov/schedules/114/n0.html,,
100014,KCM,"116","","Fauntleroy Ferry - Downtown Seattle",3,http://metro.kingcounty.gov/schedules/116/n0.html,,
100016,KCM,"118","","Tahlequah - Vashon - Downtown Seattle",3,http://metro.kingcounty.gov/schedules/118/n0.html,,
100017,KCM,"119","","Dockton - Vashon - Downtown Seattle",3,http://metro.kingcounty.gov/schedules/119/n0.html,,
100018,KCM,"12","","Interlaken Park - First Hill - Downtown Seattle",3,http://metro.kingcounty.gov/schedules/012/n0.html,,
100019,KCM,"120","","Burien TC - Westwood Village - Downtown Seattle",3,http://metro.kingcounty.gov/schedules/120/n0.html,,
100020,KCM,"121","","Highline Coll-Marine Vw-BurienTC-Downtown Seattle",3,http://metro.kingcounty.gov/schedules/121/n0.html,,
100021,KCM,"122","","Highline College - Burien TC - Downtown Seattle",3,http://metro.kingcounty.gov/schedules/122/n0.html,,
100022,KCM,"123","","Gregory Heights - Burien TC - Downtown Seattle",3,http://metro.kingcounty.gov/schedules/123/n0.html,,
100023,KCM,"124","","Tukwila International Blvd Sta - Downtown Seattle",3,http://metro.kingcounty.gov/schedules/124/n0.html,,
100024,KCM,"125","","Westwood Vill - S Seattle Coll - Downtown Seattle",3,http://metro.kingcounty.gov/schedules/125/n0.html,,
100026,KCM,"128","","Southcenter - Alaska Junction - Admiral District",3,http://metro.kingcounty.gov/schedules/128/n0.html,,
100028,KCM,"13","","Seattle Pacific - Downtown Seattle",3,http://metro.kingcounty.gov/schedules/013/n0.html,,
100030,KCM,"131","","Burien TC - Georgetown - Downtown Seattle",3,http://metro.kingcounty.gov/schedules/131/n0.html,,
100031,KCM,"132","","Burien TC - South Park - Downtown Seattle",3,http://metro.kingcounty.gov/schedules/132/n0.html,,
100039,KCM,"14","","Mt Baker - Downtown Seattle",3,http://metro.kingcounty.gov/schedules/014/n0.html,,
100041,KCM,"143","","Black Diamond - Downtown Seattle",3,http://metro.kingcounty.gov/schedules/143/n0.html,,
100042,KCM,"148","","Fairwood - Renton Transit Center",3,http://metro.kingcounty.gov/schedules/148/n0.html,,
100044,KCM,"15","","Blue Ridge - Crown Hill - Downtown Seattle",3,http://metro.kingcounty.gov/schedules/015/n0.html,,
100045,KCM,"150","","Kent Station - Southcenter - Downtown Seattle",3,http://metro.kingcounty.gov/schedules/150/n0.html,,
100048,KCM,"153","","Kent Sounder Station - Renton Transit Center",3,http://metro.kingcounty.gov/schedules/153/n0.html,,
100049,KCM,"154","","Tukwila Station - Boeing Industrial",3,http://metro.kingcounty.gov/schedules/154/n0.html,,
100051,KCM,"158","","Kent East Hill - Downtown Seattle",3,http://metro.kingcounty.gov/schedules/158/n0.html,,
100052,KCM,"159","","Timberlane - Kent Station - Downtown Seattle",3,http://metro.kingcounty.gov/schedules/159/n0.html,,
100057,KCM,"164","","Green River College - Kent Station",3,http://metro.kingcounty.gov/schedules/164/n0.html,,
100058,KCM,"166","","Kent Sndr Sta-Highline Coll-Des Moines-Burien TC",3,http://metro.kingcounty.gov/schedules/166/n0.html,,
100059,KCM,"167","","South Renton P&R - University District",3,http://metro.kingcounty.gov/schedules/167/n0.html,,
100060,KCM,"168","","Maple Valley - Kent Sounder Station",3,http://metro.kingcounty.gov/schedules/168/n0.html,,
100061,KCM,"169","","Kent Sounder Station - Renton TC",3,http://metro.kingcounty.gov/schedules/169/n0.html,,
100062,KCM,"17","","Loyal Heights-Sunset Hill-Ballard-Downtown Seattle",3,http://metro.kingcounty.gov/schedules/017/n0.html,,
100068,KCM,"177","","Federal Way S 320th P&R - Downtown Seattle",3,http://metro.kingcounty.gov/schedules/177/n0.html,,
100069,KCM,"178","","S Federal Way P&R - Downtown Seattle",3,http://metro.kingcounty.gov/schedules/178/n0.html,,
100070,KCM,"179","","Twin Lakes P&R-Federal Way Way TC-Downtown Seattle",3,http://metro.kingcounty.gov/schedules/179/n0.html,,
100071,KCM,"18","","North Beach - Ballard - Downtown Seattle",3,http://metro.kingcounty.gov/schedules/018/n0.html,,
100072,KCM,"181","","Twin Lakes P&R - Auburn Station - Green River Coll",3,http://metro.kingcounty.gov/schedules/181/n0.html,,
100073,KCM,"182","","Northeast Tacoma - Federal Way TC",3,http://metro.kingcounty.gov/schedules/182/n0.html,,
100074,KCM,"183","","Federal Way TC - Star Lake - Kent Station",3,http://metro.kingcounty.gov/schedules/183/n0.html,,
100077,KCM,"186","","Enumclaw - Griffin Wells - Auburn Station",3,http://metro.kingcounty.gov/schedules/186/n0.html,,
100078,KCM,"187","","Federal Way - Twin Lakes",3,http://metro.kingcounty.gov/schedules/187/n0.html,,
100081,KCM,"19","","Magnolia - Downtown Seattle",3,http://metro.kingcounty.gov/schedules/019/n0.html,,
100082,KCM,"190","","Redondo Heights P&R - Star Lake - Downtown Seattle",3,http://metro.kingcounty.gov/schedules/190/n0.html,,
100084,KCM,"192","","Star Lake - Downtown Seattle",3,http://metro.kingcounty.gov/schedules/192/n0.html,,
100088,KCM,"197","","Twin Lakes P&R - University District",3,http://metro.kingcounty.gov/schedules/197/n0.html,,
